data,sample,IS,,,Metab1,,,Metab2,,,Metab3,,,Metab4,,,Metab5,,,Metab6,,,Metab7,,,Metab8,,,Metab9,,,Metab10,,,Metab11,,,Metab12,,,Metab13,,,Metab14,,,Metab15,,
,,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR
170710-04,QC,17.299,529605.01,41.1,28.319,38966.8,10.7,19.652,59509.31,3.9,32.329,60801.26,5.1,17.647,463449.21,39.2,28.335,33447.48,9.5,17.73,28586.46,6.1,17.216,856043.67,10.7,16.735,4508314.88,522,19.751,2136573.61,Infinity,15.758,6001897.09,266.1,16.238,285858.55,101.2,16.387,759932.81,87.5,18.376,9614712.28,1182.2,17.763,2846287.9,447.7,14.366,241373.32,114.6
170710-04,QC,17.779,504160.35,40.5,28.832,50612.6,13.3,20.199,56002.76,4.3,32.926,71308.9,4.7,18.127,430908.17,36.7,28.915,27783.41,7.9,18.277,26285.46,8.9,17.697,873158.7,10.9,17.199,4218870.48,499.1,20.282,2016586.55,Infinity,16.222,5562208.23,241.9,16.702,265695.87,88.6,16.851,736472.22,84.6,18.873,9582059.11,1165.9,18.243,2871549.38,449.2,14.797,251864.85,119.1
170710-04,QC,18.26,529777.04,41.2,29.429,43862.37,11.2,20.696,53076.62,4.5,33.506,57490.82,4.4,18.608,468036.74,38,29.479,37442.98,10.1,18.707,31986.73,9.1,18.161,911015.6,11.4,17.663,4114723.56,472.8,20.795,2089675.44,Infinity,16.669,6014998.85,268,17.15,246156.42,81.6,17.315,773498.7,91.6,19.354,9580683.13,1173.7,18.724,2881978.77,459.5,15.211,252665.28,116.4
170710-04,QC,19.188,544513.36,43.1,30.622,46627.28,12.9,21.707,42330.34,4,34.649,58616.96,4.5,19.553,423522.99,36.1,30.606,29854.06,8.4,19.669,32317.98,10.5,19.089,870883.54,11.2,18.575,4259273.5,522.9,21.79,1875616.84,Infinity,17.531,5771180.36,266.3,18.045,219030.57,81,18.21,664613.52,80.4,20.315,9391497.61,1175.4,19.669,2752387.23,459.1,16.039,227443.17,114.6
170710-04,QC,19.652,554806.71,43.8,31.186,39287.68,11.5,22.204,42013.06,3.7,35.262,50055.18,4.3,20.033,458180.66,40,31.202,33623.88,8.9,20.149,34485.13,11.1,19.569,890954.01,11.5,19.055,4732507.85,550.2,22.287,1913495.6,Infinity,17.995,5750651.96,268.9,18.509,240671.72,85.6,18.674,653438.58,81.2,20.812,9507019.08,1201.7,20.149,2798398.08,465.6,16.47,230022.7,114.9
170710-04,QC,20.133,559373.08,43.7,31.749,44748.6,11.2,22.701,45002.94,3.7,35.859,54250.99,4.9,20.514,466605.67,41.6,31.749,34547.41,8.2,20.663,28484.88,8.8,20.05,940488.48,12.4,19.519,4729828.24,556.4,22.784,1903486.98,Infinity,18.442,5648825.17,269.4,18.973,250260.48,85.2,19.138,694017.4,88.5,21.309,9393327.93,1191.3,20.646,2876592.68,475.2,16.885,233106.13,117.3
,,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR
170710-07,1U2,17.637,765128.25,57.9,28.607,194796.29,54,19.957,51980.62,4.2,32.617,102325.39,9.3,18.001,1193649.21,49.8,28.69,87062.52,19.3,18.084,125836.4,52.3,17.554,3002597.38,23.9,17.023,4601854.84,298.4,20.056,1740152.41,Infinity,16.029,3226127.26,88,16.477,165800.9,140.1,16.659,2872700.25,382.4,18.664,1429597.3,189.4,18.084,509700.37,185.4,14.604,893685.83,323.3
170710-07,1U2,18.084,411654.98,33.7,29.17,99915.08,24.8,20.454,44547.29,2.6,33.263,60429.97,5.2,18.432,650884.87,27,29.27,45660.96,10.5,18.548,55153.96,22.6,18.001,1560935.83,13.2,17.487,2146859.16,170.4,20.553,893087.38,Infinity,16.477,1667705.83,49.8,16.957,76664.22,64.3,17.123,1586756.84,230.8,19.145,756778.21,100.5,18.548,255886.82,88.8,15.035,457665.36,169.4
